Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Gare Du Nord,Carte Blanche,,Black Billionaires EP,,Electro,9657259,240,,,1,,2010,12/29/2013 1:47,9/11/2012 22:09,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Carte Blanche - Black Billionaires EP\Carte Blanche - Black Billionaires (2010) EP\01.Carte Blanche - Gare Du Nord.mp3
Tric Trac (Original Mix),Worthy &  Eats Everything, ,From the Blogs 45,,House,13310008,331,,,1,,,12/29/2013 4:19,9/11/2012 22:10,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Worthy and Eats Everything - Tric Trac (Original Mix).mp3
Lezgo VIP (Justin Martin vs. Ardalan - DJ Version),Justin Martin,"Justin Martin, Ardalan Noghre-Kar",Ghettos & Gardens,,Electronic,13740085,198,1,1,8,12,2012,12/29/2013 2:11,9/11/2012 22:09,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Justin Martin - Ghettos & Gardens (DJ Versions)\8. Justin Martin - Lezgo VIP (Justin Martin vs. Ardalan - DJ Version)_.mp3
Rack City (Mak & Pasteman Bootleg),Tyga ,,From the Blogs 46,,Future Garage / Rap,11418117,271,,,,,,12/29/2013 9:37,9/11/2012 22:09,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Rack City (Mak & Pasteman Bootleg).mp3
Cactus,Objekt,,HES019,,UK Funky,14518973,358,,,,,2010,2/26/2013 8:43,9/11/2012 22:10,320,44100,,MPEG audio file,,www.soundcloud.com/static_cast ::::::: mix 17,,,,,100,
Ray Ban Vision (Luckybeard Remix) (dirty),A-Trak,,Ray Ban Vision - Single,,Future Garage,11378988,267,1,1,3,3,2012,12/29/2013 2:21,9/11/2012 22:08,320,44100,,MPEG audio file,,,3,6/11/2013 13:07,,,,H:\LAPTOP\Other Music\A-Trak - Ray Ban Vision\A-Trak feat Cyhi Da Prynce - Ray Ban Vision [FGR053]\03_Ray Ban Vision (Luckybeard Remix).mp3
Fireworks Hotmix,Surkin,,USA,,Electro,6219876,152,1,1,5,16,2011,12/29/2013 7:54,9/11/2012 22:10,320,44100,,MPEG audio file,,"Interprètes : Surkin, interprète; Benoit Heitz, compositeur  Label : Marble - Idol  ",2,11/13/2012 21:03,,,,H:\LAPTOP\Other Music\Surkin - USA LP\yousexymotherfuckers\01-05-Surkin-Fireworks_Hotmix-320.mp3
Stereo Freeze [-1],Untold,,From the Blogs 55,,Bass,14950634,372,,,1,2,2010,12/28/2013 23:57,9/17/2012 11:22,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Untold - Stereo Freeze.mp3
Underdog,Pearson Sound,Hessle Audio,Clutch / Underdog / Piston,,Future Garage,7846903,194,,,2,3,2012,12/29/2013 9:08,9/11/2012 22:07,320,44100,,MPEG audio file,,,1,9/18/2012 21:34,,,,H:\LAPTOP\Other Music\Pearson Sound - Clutch Underdog Piston\Pearson Sound - Clutch  Underdog  Piston [HES022]\02_Underdog.mp3
Navajo (feat. Drop Top) (Original Mix),Zombies For Money,,Heavy Bass Champions of the World Vol XX,,House / Bass,11819161,288,,,1,,2012,12/29/2013 4:37,9/18/2012 13:45,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Zombies For Money - XX\Zombies For Money - Heavy Bass Champions Of The World Vol XX [TBD075]\01_Navajo (feat. Drop Top) (Original Mix).mp3
